type,address,time,lat,lon
Sexual Assault,6200 Antoine Drive,"October 14, 2019 ",29.9505270895522,-95.3984955671642
Fatal Crash,8600 Bellaire Boulevard,"October 14, 2019 6:45 a",29.8702733,-95.4734499
Fatal Shooting,12600 Brookglade Circle,"October 14, 2019 12:30 a",29.7050898,-95.5193628
Fatal Crash,2500 South Barker Cypress Road,"October 14, 2019 3:20 p",29.679933,-95.600118
Shooting,5901 Selinksy Road,"October 14, 2019 10:30 p",29.7094859,-95.6880571
Shooting,5900 Glenmont Drive,"October 10, 2019 12:40 a",29.674537,-95.577129
Fatal Shooting,5900 Selinsky Road,"October 9, 2019 12:40 p",29.720133,-95.484993
